日期,开盘,最高,最低,收盘,成交量,持仓量,结算价
2015/09/01,1965,1976,1943,1959,805314,1381216,0
2015/09/02,1959,1961,1951,1960,286022,1375668,0
2015/09/07,1958,1967,1938,1951,605212,1357982,0
2015/09/08,1954,1967,1944,1966,487414,1323766,0
2015/09/09,1971,1972,1951,1952,458592,1352544,0
2015/09/10,1955,1963,1937,1956,694630,1336462,0
2015/09/11,1957,1965,1953,1954,258326,1285134,0
2015/09/14,1953,1954,1936,1941,357928,1303260,0
2015/09/15,1943,1947,1932,1936,322666,1303662,0
2015/09/16,1938,1953,1934,1944,371280,1236532,0
2015/09/17,1946,1946,1912,1925,664594,1315686,0
2015/09/18,1920,1923,1854,1855,1735408,1635634,0
2015/09/21,1877,1884,1858,1869,1833070,1717596,0
2015/09/22,1873,1875,1851,1854,738850,1776878,0
2015/09/23,1848,1861,1844,1859,943300,1836136,0
2015/09/24,1860,1866,1851,1856,542538,1875672,0
2015/09/25,1857,1876,1854,1860,632782,1812734,0
2015/09/28,1860,1862,1849,1853,425676,1801502,0
2015/09/29,1848,1848,1822,1830,742200,1905438,0
2015/09/30,1834,1838,1825,1826,616190,2016382,0
2015/10/08,1819,1835,1804,1826,875452,2091328,0
2015/10/09,1826,1842,1824,1826,722964,2153006,0
2015/10/12,1830,1831,1812,1818,829462,2239412,0
2015/10/13,1813,1816,1788,1797,1108666,2370948,0
2015/10/14,1798,1826,1798,1822,838758,2307794,0
2015/10/15,1818,1836,1818,1827,571842,2287928,0
2015/10/16,1826,1837,1818,1836,656734,2331816,0
2015/10/19,1831,1837,1820,1823,751620,2340612,0
2015/10/20,1821,1825,1811,1816,655506,2363836,0
2015/10/21,1820,1830,1817,1824,568988,2326654,0
2015/10/22,1824,1830,1815,1823,498402,2308404,0
2015/10/23,1815,1825,1813,1823,493280,2274514,0
2015/10/26,1822,1846,1821,1841,868856,2269746,0
2015/10/27,1843,1854,1835,1853,747648,2197622,0
2015/10/28,1850,1851,1836,1837,456922,2197800,0
2015/10/29,1838,1846,1826,1839,479408,2198028,0
2015/10/30,1842,1844,1828,1829,382320,2224584,0
2015/11/02,1832,1843,1832,1836,373670,2219246,0
2015/11/03,1834,1856,1834,1854,495466,2209930,0
2015/11/04,1853,1865,1851,1852,619422,2124782,0
2015/11/05,1852,1863,1850,1855,403812,2121322,0
2015/11/06,1852,1867,1841,1863,526508,2073114,0
2015/11/09,1872,1917,1872,1894,2557134,1764376,0
2015/11/10,1881,1881,1840,1848,1553144,2007770,0
2015/11/11,1843,1852,1839,1844,594324,2056496,0
2015/11/12,1844,1875,1836,1865,1683162,2140400,0
2015/11/13,1866,1875,1857,1862,847084,2070724,0
2015/11/16,1873,1884,1851,1852,1024016,2129538,0
2015/11/17,1856,1871,1841,1870,1074098,2164460,0
2015/11/18,1869,1876,1859,1868,711228,2110938,0
2015/11/19,1863,1867,1841,1854,1132410,2072982,0
2015/11/20,1859,1865,1825,1835,1690298,2084920,0
2015/11/23,1841,1856,1837,1846,1032332,2067400,0
2015/11/24,1851,1859,1844,1849,872584,1996348,0
2015/11/25,1852,1861,1835,1860,1064876,1959904,0
2015/11/26,1863,1878,1856,1863,698910,1881884,0
2015/11/27,1859,1891,1856,1887,934998,1840566,0
2015/11/30,1891,1901,1874,1883,958542,1962990,0
2015/12/01,1884,1888,1871,1875,558642,1950886,0
2015/12/02,1879,1885,1876,1880,495380,1926048,0
2015/12/03,1873,1893,1868,1886,538728,1948286,0
2015/12/04,1886,1889,1876,1878,688372,1914464,0
2015/12/07,1871,1875,1839,1851,1130628,1884396,0
2015/12/08,1846,1857,1841,1851,580984,1827208,0
2015/12/09,1853,1862,1848,1853,397876,1852250,0
2015/12/10,1850,1868,1839,1866,907588,1809950,0
2015/12/11,1864,1871,1858,1866,346252,1775160,0
2015/12/14,1867,1878,1863,1866,477938,1734370,0
2015/12/15,1869,1875,1866,1873,343574,1720738,0
2015/12/16,1870,1876,1865,1871,262088,1721554,0
2015/12/17,1871,1889,1869,1876,399378,1741382,0
2015/12/18,1874,1893,1874,1892,423376,1728644,0
2015/12/21,1893,1907,1889,1899,626804,1735556,0
2015/12/22,1898,1910,1874,1876,950922,1739550,0
2015/12/23,1869,1877,1862,1870,609844,1743410,0
2015/12/24,1866,1871,1861,1864,446110,1781868,0
2015/12/25,1862,1864,1848,1849,428270,1812980,0
2015/12/28,1826,1838,1790,1795,1588708,1892028,0
2015/12/29,1806,1823,1805,1815,625274,1806342,0
2015/12/30,1824,1853,1822,1832,717156,1774678,0
2015/12/31,1828,1839,1827,1836,310912,1737616,0
2016/01/04,1834,1838,1819,1829,438498,1755498,0
2016/01/05,1827,1847,1825,1845,484794,1722706,0
2016/01/06,1845,1857,1838,1855,659996,1766830,0
2016/01/07,1853,1860,1833,1834,799854,1823184,0
2016/01/08,1838,1838,1822,1823,479468,1843178,0
2016/01/11,1808,1819,1806,1811,496986,1843740,0
2016/01/12,1811,1817,1803,1812,464836,1864294,0
2016/01/13,1811,1814,1804,1808,249778,1864868,0
2016/01/14,1803,1811,1798,1799,425076,1888078,0
2016/01/15,1800,1807,1795,1805,304974,1907704,0
2016/01/18,1800,1817,1800,1808,809756,1873604,0
2016/01/19,1806,1808,1794,1797,521858,1830488,0
2016/01/20,1794,1804,1791,1797,485436,1800438,0
2016/01/21,1795,1798,1790,1794,277126,1787180,0
2016/01/22,1802,1806,1797,1799,340124,1772704,0
2016/01/25,1800,1803,1795,1800,210752,1801332,0
2016/01/26,1800,1806,1796,1801,392578,1804872,0
2016/01/27,1801,1810,1794,1808,501718,1843840,0
2016/01/28,1785,1794,1782,1788,712828,1931012,0
2016/01/29,1783,1787,1763,1764,654490,1989440,0
2016/02/01,1766,1770,1761,1765,263164,1987154,0
2016/02/02,1765,1769,1762,1767,216614,1994470,0
2016/02/03,1767,1776,1764,1774,264578,1957672,0
2016/02/04,1774,1783,1773,1781,357036,1873352,0
2016/02/05,1777,1777,1769,1770,219772,1865680,0
2016/02/15,1773,1780,1762,1779,271286,1873340,0
2016/02/16,1779,1789,1775,1776,359202,1922376,0
2016/02/17,1770,1774,1757,1761,545240,1902588,0
2016/02/18,1763,1771,1762,1766,410290,1898080,0
2016/02/19,1766,1773,1732,1732,655334,2056382,0
2016/02/22,1726,1726,1694,1695,1098952,2092940,0
2016/02/23,1696,1701,1680,1694,886636,2069834,0
2016/02/24,1689,1698,1653,1653,1272172,2088040,0
2016/02/25,1658,1662,1641,1645,888872,2053526,0
2016/02/26,1642,1650,1621,1621,1030446,2076106,0
2016/02/29,1613,1614,1573,1601,2059014,2160468,0
2016/03/01,1605,1643,1602,1640,1686512,2143122,0
2016/03/02,1639,1648,1629,1637,1103136,2096758,0
2016/03/03,1642,1651,1631,1647,903518,2050706,0
2016/03/04,1654,1658,1645,1656,603366,1996760,0
2016/03/07,1654,1655,1606,1610,1728662,2248910,0
2016/03/08,1611,1630,1602,1608,1338698,2165320,0
2016/03/09,1603,1613,1599,1604,1178998,2251396,0
2016/03/10,1604,1611,1572,1584,1716206,2394610,0
2016/03/11,1584,1605,1579,1600,1334728,2334694,0
2016/03/14,1602,1603,1581,1583,831978,2317286,0
2016/03/15,1587,1592,1581,1588,710476,2347304,0
2016/03/16,1587,1590,1575,1583,794126,2444614,0
2016/03/17,1586,1590,1576,1584,792960,2408262,0
2016/03/18,1590,1634,1586,1616,1832836,2124934,0
2016/03/21,1603,1631,1600,1628,1296774,2078142,0
2016/03/22,1634,1635,1613,1621,943234,2054768,0
2016/03/23,1619,1629,1596,1597,1650058,2284806,0
2016/03/24,1585,1608,1583,1600,1291678,2239248,0
2016/03/25,1595,1600,1587,1590,1173492,2323442,0
2016/03/28,1559,1571,1536,1541,1881998,2498870,0
2016/03/29,1523,1534,1511,1525,1878334,2492036,0
2016/03/30,1530,1535,1521,1528,826332,2458568,0
2016/03/31,1527,1528,1515,1518,797552,2461156,0
2016/04/01,1507,1517,1507,1511,831948,2469718,0
2016/04/05,1513,1526,1513,1515,595736,2442742,0
2016/04/06,1517,1524,1516,1519,386854,2450960,0
2016/04/07,1519,1521,1514,1518,328614,2458932,0
2016/04/08,1519,1520,1510,1514,380694,2453858,0
2016/04/11,1517,1525,1510,1518,842370,2504768,0
2016/04/12,1518,1528,1517,1527,610712,2477712,0
2016/04/13,1547,1552,1530,1539,1452792,2418920,0
2016/04/14,1545,1566,1545,1563,1309306,2432656,0
2016/04/15,1560,1561,1540,1544,1140074,2423852,0
2016/04/18,1551,1585,1549,1564,2272020,2419168,0
2016/04/19,1574,1580,1565,1573,1002864,2386206,0
2016/04/20,1592,1623,1588,1612,2616772,2036466,0
2016/04/21,1645,1661,1642,1659,2209530,2062048,0
2016/04/22,1625,1651,1600,1607,3417380,1873330,0
2016/04/25,1586,1608,1581,1595,1287210,1780202,0
2016/04/26,1613,1615,1592,1599,1113430,1723486,0
2016/04/27,1607,1608,1573,1573,1189012,1729894,0
2016/04/28,1573,1580,1554,1573,1135154,1660030,0
2016/04/29,1588,1590,1566,1567,728970,1678266,0
2016/05/03,1572,1594,1567,1592,932720,1692654,0
2016/05/04,1572,1583,1569,1581,699008,1641854,0
2016/05/05,1583,1583,1569,1569,548506,1599324,0
2016/05/06,1545,1565,1543,1558,709634,1512938,0
2016/05/09,1567,1570,1551,1557,745950,1465050,0
